isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
17,17PR004J.1,Pythium aphanidermatum,1,1,0,40.32,40.28,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,0,38.7,38.63,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,0,38.83,39.2,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,1,0.01,29.13,28.96,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,0.01,30.61,28,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,0.01,27.22,26.93,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,1,0.1,13.84,7.11,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,0.1,10.19,10.17,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,0.1,8.75,10.99,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,1,0.5,7.84,4.67,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,0.5,7.25,4.12,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,0.5,6.96,4.41,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,1,1,4.68,4.3,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,1,6.35,3.91,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,1,6.96,3.37,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,1,10,4.59,3.32,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,2,10,4.77,4.26,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,1,3,10,4.49,0,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,0,38.19,39.48,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,0,41.13,42.11,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,0,40.46,42.23,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,0.01,28.45,28.44,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,0.01,30.26,30.29,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,0.01,31.27,31.53,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,0.1,16.43,16.72,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,0.1,17.82,15.39,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,0.1,16.4,15.35,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,0.5,6.15,7.19,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,0.5,7.78,7.67,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,0.5,7.03,7.61,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,1,4.32,4,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,1,4.01,3.97,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,1,5.34,3.71,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,1,10,0,0,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,2,10,0,0,Azoxystrobin
17,17PR004J.1,Pythium aphanidermatum,2,3,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,0,40.92,42.96,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,0,42.32,40.34,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,0,40.37,39.53,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,0.01,28.79,28.56,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,0.01,29.11,28.35,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,0.01,30.99,28.23,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,0.1,12.27,11.18,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,0.1,11.99,10.55,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,0.1,13.63,11.44,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,0.5,5.92,4.48,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,0.5,4.17,4.57,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,0.5,5.17,4.96,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,1,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,1,3.39,3.63,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,1,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,1,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,2,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,1,3,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,0,37.68,39.64,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,0,37.83,37.81,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,0,35.42,37.06,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,0.01,28.58,26.68,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,0.01,32.8,26.34,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,0.01,27.09,27.99,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,0.1,16.74,16.73,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,0.1,20.98,16.54,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,0.1,13.49,2.82,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,0.5,6.46,6.76,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,0.5,6.7,5.54,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,0.5,6.23,4.68,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,1,5.2,4.99,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,1,4.81,4.41,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,1,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,1,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,2,10,0,0,Azoxystrobin
18,17PR011G.1,Pythium aphanidermatum,2,3,37.83,37.81,0,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,1,0,46.22,46.23,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,2,0,41.25,41.2,Azoxystrobin
19,17PR011J.1,Pythium aphanidermatum,1,3,0,42.2,42.18,Azoxystrobin
