Species,plate_id,rep,colonized_5,colonized_10,rotted_5,germination_10,isolate_id,species,experiment
plug,pda,a,0,0,0,8,PDA control,PDA control,1
plug,pda,a,0,0,0,6,PDA control,PDA control,1
plug,pda,a,0,0,0,7,PDA control,PDA control,1
plug,pda,b,0,0,0,7,PDA control,PDA control,1
plug,pda,b,0,0,0,6,PDA control,PDA control,1
plug,pda,b,0,0,0,7,PDA control,PDA control,1
plug,pda,c,0,0,1,4,PDA control,PDA control,1
plug,pda,c,0,0,0,6,PDA control,PDA control,1
plug,pda,c,0,0,0,7,PDA control,PDA control,1
plug,pda,d,0,0,1,7,PDA control,PDA control,1
plug,pda,d,0,0,1,6,PDA control,PDA control,1
plug,pda,d,0,0,0,6,PDA control,PDA control,1
plug,pda,e,0,0,1,8,PDA control,PDA control,1
plug,pda,e,0,0,0,6,PDA control,PDA control,1
plug,pda,e,0,0,0,7,PDA control,PDA control,1
plug,pda,f,0,0,0,5,PDA control,PDA control,2
plug,pda,f,0,0,0,8,PDA control,PDA control,2
plug,pda,f,0,0,0,3,PDA control,PDA control,2
plug,pda,g,0,0,0,4,PDA control,PDA control,2
plug,pda,g,0,0,1,4,PDA control,PDA control,2
plug,pda,g,0,0,0,5,PDA control,PDA control,2
plug,pda,h,0,0,0,7,PDA control,PDA control,2
plug,pda,h,0,0,0,4,PDA control,PDA control,2
plug,pda,h,0,0,0,6,PDA control,PDA control,2
plug,pda,i,0,0,0,5,PDA control,PDA control,2
plug,pda,i,0,0,0,7,PDA control,PDA control,2
plug,pda,i,0,0,0,5,PDA control,PDA control,2
plug,pda,j,0,0,0,4,PDA control,PDA control,2
plug,pda,j,0,0,0,3,PDA control,PDA control,2
plug,pda,j,0,0,1,2,PDA control,PDA control,2
P. irregulare,pi,a,0,8,1,0,Pu control,Pu control,1
P. irregulare,pi,a,3,8,4,0,Pu control,Pu control,1
P. irregulare,pi,a,0,8,2,0,Pu control,Pu control,1
P. irregulare,pi,b,3,8,4,0,Pu control,Pu control,1
P. irregulare,pi,b,1,8,3,0,Pu control,Pu control,1
P. irregulare,pi,b,1,8,1,0,Pu control,Pu control,1
P. irregulare,pi,c,0,8,1,0,Pu control,Pu control,1
P. irregulare,pi,c,1,8,1,0,Pu control,Pu control,1
P. irregulare,pi,c,0,8,3,0,Pu control,Pu control,1
P. irregulare,pi,d,0,8,0,0,Pu control,Pu control,1
P. irregulare,pi,d,0,8,1,0,Pu control,Pu control,1
P. irregulare,pi,d,2,8,3,0,Pu control,Pu control,1
P. irregulare,pi,e,NA,NA,NA,NA,Pu control,Pu control,1
P. irregulare,pi,e,NA,NA,NA,NA,Pu control,Pu control,1
P. irregulare,pi,e,4,8,3,0,Pu control,Pu control,1
P. irregulare,pi,f,1,8,0,0,Pu control,Pu control,2
P. irregulare,pi,f,2,8,0,0,Pu control,Pu control,2
P. irregulare,pi,f,3,8,1,0,Pu control,Pu control,2
P. irregulare,pi,g,0,8,0,0,Pu control,Pu control,2
P. irregulare,pi,g,2,8,1,0,Pu control,Pu control,2
P. irregulare,pi,g,0,8,1,0,Pu control,Pu control,2
P. irregulare,pi,h,0,8,0,0,Pu control,Pu control,2
P. irregulare,pi,h,1,8,0,0,Pu control,Pu control,2
P. irregulare,pi,h,0,8,0,0,Pu control,Pu control,2
P. irregulare,pi,i,2,8,2,0,Pu control,Pu control,2
P. irregulare,pi,i,2,8,0,0,Pu control,Pu control,2
P. irregulare,pi,i,0,8,2,0,Pu control,Pu control,2
P. irregulare,pi,j,1,8,0,0,Pu control,Pu control,2
P. irregulare,pi,j,1,8,0,0,Pu control,Pu control,2
P. irregulare,pi,j,0,8,1,0,Pu control,Pu control,2
P. ultimum,pu,a,5,8,1,0,Pi control,Pi control,1
P. ultimum,pu,a,2,8,0,0,Pi control,Pi control,1
P. ultimum,pu,a,4,8,1,0,Pi control,Pi control,1
P. ultimum,pu,b,0,8,3,0,Pi control,Pi control,1
P. ultimum,pu,b,2,8,4,0,Pi control,Pi control,1
P. ultimum,pu,b,3,8,1,0,Pi control,Pi control,1
P. ultimum,pu,c,0,8,1,0,Pi control,Pi control,1
P. ultimum,pu,c,0,8,0,0,Pi control,Pi control,1
P. ultimum,pu,c,1,8,2,0,Pi control,Pi control,1
P. ultimum,pu,d,1,8,1,0,Pi control,Pi control,1
P. ultimum,pu,d,5,8,2,0,Pi control,Pi control,1
P. ultimum,pu,d,0,8,1,0,Pi control,Pi control,1
P. ultimum,pu,e,4,8,1,0,Pi control,Pi control,1
P. ultimum,pu,e,5,8,3,0,Pi control,Pi control,1
P. ultimum,pu,e,5,8,2,0,Pi control,Pi control,1
P. ultimum,pu,f,5,8,1,0,Pi control,Pi control,2
P. ultimum,pu,f,4,8,1,0,Pi control,Pi control,2
P. ultimum,pu,f,2,8,2,0,Pi control,Pi control,2
P. ultimum,pu,g,3,8,1,0,Pi control,Pi control,2
P. ultimum,pu,g,5,8,1,0,Pi control,Pi control,2
P. ultimum,pu,g,4,8,0,0,Pi control,Pi control,2
P. ultimum,pu,h,0,8,0,0,Pi control,Pi control,2
P. ultimum,pu,h,0,8,0,0,Pi control,Pi control,2
P. ultimum,pu,h,0,8,0,0,Pi control,Pi control,2
P. ultimum,pu,i,4,8,0,0,Pi control,Pi control,2
P. ultimum,pu,i,3,8,0,0,Pi control,Pi control,2
P. ultimum,pu,i,2,8,0,0,Pi control,Pi control,2
P. ultimum,pu,j,1,8,2,0,Pi control,Pi control,2
P. ultimum,pu,j,3,8,0,0,Pi control,Pi control,2
P. ultimum,pu,j,2,8,0,0,Pi control,Pi control,2
P. ultimum,1,a,8,8,7,0,16PR001.1,Pythium ultimum var. sporangiiferum,1
P. ultimum,1,a,8,8,8,0,16PR001.1,Pythium ultimum var. sporangiiferum,1
P. ultimum,1,a,8,8,7,0,16PR001.1,Pythium ultimum var. sporangiiferum,1
P. ultimum,1,f,3,7,0,0,16PR001.1,Pythium ultimum var. sporangiiferum,2
P. ultimum,1,f,3,8,0,0,16PR001.1,Pythium ultimum var. sporangiiferum,2
P. ultimum,1,f,5,8,0,0,16PR001.1,Pythium ultimum var. sporangiiferum,2
P. ultimum,2,f,0,7,0,0,16PR007.1,Pythium yorkensis,2
P. ultimum,2,f,0,5,0,1,16PR007.1,Pythium yorkensis,2
P. ultimum,2,f,1,6,1,0,16PR007.1,Pythium yorkensis,2
P. ultimum,3,a,0,0,0,3,16PR007.2,Pythium yorkensis,1
P. ultimum,3,a,0,0,3,4,16PR007.2,Pythium yorkensis,1
P. ultimum,3,a,0,1,1,7,16PR007.2,Pythium yorkensis,1
P. ultimum,3,f,0,8,1,1,16PR007.2,Pythium yorkensis,2
P. ultimum,3,f,0,5,3,3,16PR007.2,Pythium yorkensis,2
P. ultimum,3,f,1,8,0,0,16PR007.2,Pythium yorkensis,2
P. dissotocum,4,a,0,2,0,6,16PR008B.1,Pythium torulosum,1
P. dissotocum,4,a,0,1,0,5,16PR008B.1,Pythium torulosum,1
P. dissotocum,4,a,0,1,2,6,16PR008B.1,Pythium torulosum,1
P. dissotocum,4,f,0,8,2,0,16PR008B.1,Pythium torulosum,2
