isolate_id,species,plate_id,rep,emergence,plant_mass_g,root_mass_g,root_rot_perc
16PR001.1,Pythium ultimum var. sporangiiferum,1,A,N,NA,NA,NA
16PR001.1,Pythium ultimum var. sporangiiferum,1,B,Y,3.22,1.53,0
16PR001.1,Pythium ultimum var. sporangiiferum,1,C,N,NA,NA,NA
16PR007.1,Pythium yorkensis,2,A,Y,3.22,1.83,50
16PR007.1,Pythium yorkensis,2,B,N,NA,NA,NA
16PR007.1,Pythium yorkensis,2,C,N,NA,NA,NA
16PR007.2,Pythium yorkensis,3,A,Y,2.82,1.23,10
16PR007.2,Pythium yorkensis,3,B,Y,3.6,1.51,20
16PR007.2,Pythium yorkensis,3,C,Y,2.03,0.64,20
16PR008B.1,Pythium torulosum,4,A,Y,2.48,0.91,0
16PR008B.1,Pythium torulosum,4,B,Y,2.96,1.67,40
16PR008B.1,Pythium torulosum,4,C,N,NA,NA,NA
16PR010.1,Pythium irregulare,5,A,N,NA,NA,NA
16PR010.1,Pythium irregulare,5,B,N,NA,NA,NA
16PR010.1,Pythium irregulare,5,C,N,NA,NA,NA
16PR012.1,Pythium pleroticum,6,A,N,NA,NA,NA
16PR012.1,Pythium pleroticum,6,B,Y,1.31,0.33,20
16PR012.1,Pythium pleroticum,6,C,N,NA,NA,NA
16PR013C.1,Pythium ultimum var. ultimum,7,A,N,NA,NA,NA
16PR013C.1,Pythium ultimum var. ultimum,7,B,N,NA,NA,NA
16PR013C.1,Pythium ultimum var. ultimum,7,C,N,NA,NA,NA
16PR014C.1,Pythium vexans,8,A,N,NA,NA,NA
16PR014C.1,Pythium vexans,8,B,Y,0.29,0.18,10
16PR014C.1,Pythium vexans,8,C,N,NA,NA,NA
16PR015A.1,Pythium ultimum var. ultimum,9,A,N,NA,NA,NA
16PR015A.1,Pythium ultimum var. ultimum,9,B,Y,2.31,0.7,10
16PR015A.1,Pythium ultimum var. ultimum,9,C,N,NA,NA,NA
16PR015B.1,Pythium vexans,10,A,Y,NA,NA,NA
16PR015B.1,Pythium vexans,10,B,N,NA,NA,NA
16PR015B.1,Pythium vexans,10,C,Y,1.83,0.8,30
16PR015C.2,Pythium pleroticum,11,A,Y,2.59,1.57,10
16PR015C.2,Pythium pleroticum,11,B,N,NA,NA,NA
16PR015C.2,Pythium pleroticum,11,C,Y,1.45,NA,20
16PR016C.1,Pythium pleroticum,12,A,N,NA,NA,NA
16PR016C.1,Pythium pleroticum,12,B,N,NA,NA,NA
16PR016C.1,Pythium pleroticum,12,C,Y,2.68,1.28,30
16PR017B.1,Pythium yorkensis,13,A,Y,2.47,0.89,30
16PR017B.1,Pythium yorkensis,13,B,Y,2.59,1.11,30
16PR017B.1,Pythium yorkensis,13,C,Y,1.16,0.36,0
16PR017C.1,Pythium acrogynum,14,A,Y,2.28,0.97,0
16PR017C.1,Pythium acrogynum,14,B,Y,3.45,1.71,10
16PR017C.1,Pythium acrogynum,14,C,Y,1.33,0.51,10
16PR019A.1,Pythium aphanidermatum,15,A,Y,2.21,0.61,10
16PR019A.1,Pythium aphanidermatum,15,B,Y,3.05,1.74,30
16PR019A.1,Pythium aphanidermatum,15,C,Y,3.71,1.45,30
16PR019B.1,Pythium yorkensis,16,A,Y,2.06,1.03,40
16PR019B.1,Pythium yorkensis,16,B,Y,1.72,0.7,0
16PR019B.1,Pythium yorkensis,16,C,Y,1.86,0.79,40
16PR021B.1,Pythium ultimum var. sporangiiferum,17,A,N,NA,NA,NA
16PR021B.1,Pythium ultimum var. sporangiiferum,17,B,N,NA,NA,NA
16PR021B.1,Pythium ultimum var. sporangiiferum,17,C,Y,1.57,0.73,10
16PR028A.1,Pythium ultimum var. ultimum,18,A,N,NA,NA,NA
16PR028A.1,Pythium ultimum var. ultimum,18,B,N,NA,NA,NA
16PR028A.1,Pythium ultimum var. ultimum,18,C,N,NA,NA,NA
17PRORR.2,Pythium ultimum var. ultimum,19,A,N,NA,NA,NA
17PRORR.2,Pythium ultimum var. ultimum,19,B,Y,1.37,0.97,10
17PRORR.2,Pythium ultimum var. ultimum,19,C,N,NA,NA,NA
17PRORR.3,NA,20,A,N,NA,NA,NA
17PRORR.3,NA,20,B,Y,2.36,0.68,0
17PRORR.3,NA,20,C,N,NA,NA,NA
17PRORR.4,Pythium ultimum var. ultimum,21,A,N,NA,NA,NA
17PRORR.4,Pythium ultimum var. ultimum,21,B,N,NA,NA,NA
17PRORR.4,Pythium ultimum var. ultimum,21,C,N,NA,NA,NA
17PR004J.1,Pythium aphanidermatum,22,A,N,NA,NA,NA
17PR004J.1,Pythium aphanidermatum,22,B,N,NA,NA,NA
17PR004J.1,Pythium aphanidermatum,22,C,N,NA,NA,NA
17PR008A.1,Pythium ultimum var. ultimum,23,A,Y,1.7,0.3,10
17PR008A.1,Pythium ultimum var. ultimum,23,B,N,NA,NA,NA
17PR008A.1,Pythium ultimum var. ultimum,23,C,N,NA,NA,NA
17PR008H.2,Pythium torulosum,24,A,Y,2.91,0.87,10
17PR008H.2,Pythium torulosum,24,B,Y,2.33,0.68,0
17PR008H.2,Pythium torulosum,24,C,Y,2.05,1.04,20
17PR009B.1,Pythium acanthophoron,25,A,Y,0.7,0.2,0
17PR009B.1,Pythium acanthophoron,25,B,Y,2.44,0.98,10
17PR009B.1,Pythium acanthophoron,25,C,Y,2.26,1.16,10
17PR009B.2,Pythium acanthophoron,26,A,N,NA,NA,NA
17PR009B.2,Pythium acanthophoron,26,B,Y,1.68,0.2,20
17PR009B.2,Pythium acanthophoron,26,C,N,NA,NA,NA
17PR009D.1,Pythium ultimum var. ultimum,27,A,N,NA,NA,NA
17PR009D.1,Pythium ultimum var. ultimum,27,B,N,NA,NA,NA
17PR009D.1,Pythium ultimum var. ultimum,27,C,N,NA,NA,NA
17PR010C.2,Pythium ultimum var. ultimum,28,A,N,NA,NA,NA
17PR010C.2,Pythium ultimum var. ultimum,28,B,N,NA,NA,NA
17PR010C.2,Pythium ultimum var. ultimum,28,C,N,NA,NA,NA
17PR010D.1,Pythium ultimum var. ultimum,29,A,N,NA,NA,NA
17PR010D.1,Pythium ultimum var. ultimum,29,B,N,NA,NA,NA
17PR010D.1,Pythium ultimum var. ultimum,29,C,N,NA,NA,NA
17PR010G.1,Pythium pleroticum,30,A,N,NA,NA,NA
17PR010G.1,Pythium pleroticum,30,B,N,NA,NA,NA
17PR010G.1,Pythium pleroticum,30,C,N,NA,NA,NA
17PR010G.2,Pythium ultimum var. ultimum,31,A,N,NA,NA,NA
17PR010G.2,Pythium ultimum var. ultimum,31,B,N,NA,NA,NA
17PR010G.2,Pythium ultimum var. ultimum,31,C,N,NA,NA,NA
17PR010H.3,Pythium ultimum var. ultimum,32,A,N,NA,NA,NA
17PR010H.3,Pythium ultimum var. ultimum,32,B,N,NA,NA,NA
17PR010H.3,Pythium ultimum var. ultimum,32,C,N,NA,NA,NA
17PR010I.2,Pythium ultimum var. ultimum,33,A,N,NA,NA,NA
17PR010I.2,Pythium ultimum var. ultimum,33,B,N,NA,NA,NA
17PR010I.2,Pythium ultimum var. ultimum,33,C,N,NA,NA,NA
17PR011G.1,Pythium aphanidermatum,34,A,N,NA,NA,NA
17PR011G.1,Pythium aphanidermatum,34,B,N,NA,NA,NA
17PR011G.1,Pythium aphanidermatum,34,C,N,NA,NA,NA
17PR011H.2,Pythium ultimum var. ultimum,35,A,N,NA,NA,NA
17PR011H.2,Pythium ultimum var. ultimum,35,B,N,NA,NA,NA
17PR011H.2,Pythium ultimum var. ultimum,35,C,N,NA,NA,NA
17PR011J.1,Pythium aphanidermatum,36,A,N,NA,NA,NA
17PR011J.1,Pythium aphanidermatum,36,B,N,NA,NA,NA
17PR011J.1,Pythium aphanidermatum,36,C,N,NA,NA,NA
17PR012C.2,Pythium ultimum var. ultimum,37,A,N,NA,NA,NA
17PR012C.2,Pythium ultimum var. ultimum,37,B,N,NA,NA,NA
17PR012C.2,Pythium ultimum var. ultimum,37,C,N,NA,NA,NA
17PR013A.1,Pythium ultimum var. ultimum,38,A,N,NA,NA,NA
17PR013A.1,Pythium ultimum var. ultimum,38,B,N,NA,NA,NA
17PR013A.1,Pythium ultimum var. ultimum,38,C,N,NA,NA,NA
17PR013A.2,Pythium ultimum var. ultimum,39,A,N,NA,NA,NA
17PR013A.2,Pythium ultimum var. ultimum,39,B,N,NA,NA,NA
17PR013A.2,Pythium ultimum var. ultimum,39,C,N,NA,NA,NA
17PR013A.4,Pythium ultimum var. ultimum,40,A,N,NA,NA,NA
17PR013A.4,Pythium ultimum var. ultimum,40,B,N,NA,NA,NA
17PR013A.4,Pythium ultimum var. ultimum,40,C,N,NA,NA,NA
17PR013B.1,Pythium ultimum var. ultimum,41,A,N,NA,NA,NA
17PR013B.1,Pythium ultimum var. ultimum,41,B,N,NA,NA,NA
17PR013B.1,Pythium ultimum var. ultimum,41,C,N,NA,NA,NA
17PR013B.2,Pythium ultimum var. ultimum,42,A,N,NA,NA,NA
17PR013B.2,Pythium ultimum var. ultimum,42,B,Y,2.53,1.1,60
17PR013B.2,Pythium ultimum var. ultimum,42,C,N,NA,NA,NA
17PR013B.3,Pythium ultimum var. ultimum,43,A,N,NA,NA,NA
17PR013B.3,Pythium ultimum var. ultimum,43,B,N,NA,NA,NA
17PR013B.3,Pythium ultimum var. ultimum,43,C,N,NA,NA,NA
17PR013D.1,Pythium ultimum var. ultimum,44,A,N,NA,NA,NA
17PR013D.1,Pythium ultimum var. ultimum,44,B,N,NA,NA,NA
17PR013D.1,Pythium ultimum var. ultimum,44,C,N,NA,NA,NA
17PR013G.1,Pythium torulosum,45,A,Y,2.84,1.2,30
17PR013G.1,Pythium torulosum,45,B,Y,2.23,0.84,20
