isolate_id,species,fungicide,EC50,std.error,lower,upper
17PR004J.1,Pythium aphanidermatum,Azoxystrobin,0.02753054577695642,0.0024892912961679923,0.02244673472708212,0.03261435682683072
17PR011G.1,Pythium aphanidermatum,Azoxystrobin,0.027065259115232602,0.005354807133807252,0.01615787391658259,0.037972644313882614
17PR011J.1,Pythium aphanidermatum,Azoxystrobin,0.029144277406542643,0.004213569971018028,0.0205717048436333,0.03771684996945199
16PR008B.1,Pythium torulosum,Azoxystrobin,0.02622249841487036,0.0016714271453358344,0.022817912731371466,0.029627084098369255
17PR008H.2,Pythium torulosum,Azoxystrobin,0.03014984730311748,0.002984804609063784,0.024062298168065918,0.03623739643816904
17PR013G.1,Pythium torulosum,Azoxystrobin,0.032368681272172954,0.0022298040862497935,0.027832110748382707,0.036905251795963205
16PR021B.1,Pythium ultimum var. sporangiiferum,Azoxystrobin,1.4069536241941671,0.29247231025285614,0.8119142349043824,2.001993013483952
17PR009B.2,Pythium acanthophoron,Azoxystrobin,0.2833522786339419,0.04645988947171932,0.1888289227859235,0.3778756344819603
16PR010.1,Pythium irregulare,Azoxystrobin,4.086390192796658,0.41822646874949043,3.2355020443276024,4.937278341265714
16PR008B.1,Pythium torulosum,Ethaboxam,47.54781505467099,5.528995907398281,36.36436523585608,58.731264873485905
17PR008H.2,Pythium torulosum,Ethaboxam,9.29458401391868,3.4583912335998948,2.299327467781442,16.289840560055918
17PR013G.1,Pythium torulosum,Ethaboxam,65.27334138399512,8.06493397678277,48.960472658460645,81.58621010952959
16PR021B.1,Pythium ultimum var. sporangiiferum,Ethaboxam,2.3333747810289927,0.17397667092541527,1.9814737484499316,2.6852758136080537
16PR014C.1,Pythium vexans,Ethaboxam,3.487244107625665,1.121251227281109,1.2192994311240914,5.755188784127238
16PR015B.1,Pythium vexans,Ethaboxam,1.113598752035153,0.0869361246841563,0.9374494314351566,1.2897480726351493
17PR009B.2,Pythium acanthophoron,Ethaboxam,0.0486378830445061,0.018525826522842615,0.011165861950576152,0.08610990413843606
16PR010.1,Pythium irregulare,Ethaboxam,0.6832580563050376,0.04598920167458053,0.5902361156581242,0.7762799969519509
17PR004J.1,Pythium aphanidermatum,Metalaxyl,0.4629525590096166,0.03082524154174726,0.400238133545361,0.5256669844738723
17PR011G.1,Pythium aphanidermatum,Metalaxyl,0.49615678800776875,0.04412165361226762,0.4063906087848494,0.585922967230688
17PR011J.1,Pythium aphanidermatum,Metalaxyl,0.45408745502065184,0.026898869994462695,0.3993612925328165,0.5088136175084872
16PR008B.1,Pythium torulosum,Metalaxyl,3.8092058626223237,0.8992861200616523,1.9795944945730297,5.638817230671618
17PR008H.2,Pythium torulosum,Metalaxyl,0.35843205190192856,0.0294631460683418,0.2984888305149028,0.4183752732889543
17PR013G.1,Pythium torulosum,Metalaxyl,1.3833804354935342,0.25197979571123813,0.8707236864708611,1.8960371845162074
16PR021B.1,Pythium ultimum var. sporangiiferum,Metalaxyl,0.6142278492838278,0.07398732435911161,0.46369950605786914,0.7647561925097864
16PR014C.1,Pythium vexans,Metalaxyl,0.057845673421352106,0.010230656421050534,0.037031246429776496,0.07866010041292772
16PR015B.1,Pythium vexans,Metalaxyl,0.07985826270466496,0.011134576075660802,0.05720479734811964,0.10251172806121028
17PR009B.2,Pythium acanthophoron,Metalaxyl,0.22684869162371893,0.022463420850961043,0.18114651826939626,0.2725508649780416
16PR010.1,Pythium irregulare,Metalaxyl,0.1895000885827893,0.055206401984212845,0.07718181922877076,0.30181835793680784
17PR004J.1,Pythium aphanidermatum,Mefenoxam,0.6960589011154864,0.05315836376143453,0.5879073968554713,0.8042104053755015
17PR011G.1,Pythium aphanidermatum,Mefenoxam,0.5616722919104574,0.15396067413344874,0.24843694518034332,0.8749076386405715
17PR011J.1,Pythium aphanidermatum,Mefenoxam,0.2888867768206206,0.041838434343355844,0.20366467486847284,0.3741088787727683
16PR008B.1,Pythium torulosum,Mefenoxam,2.572094494666765,0.5375209614803301,1.478499875835357,3.6656891134981735
17PR008H.2,Pythium torulosum,Mefenoxam,0.4531884041298341,0.06038715910853713,0.3303298051540081,0.57604700310566
17PR013G.1,Pythium torulosum,Mefenoxam,1.1564319541902035,0.1664001296656184,0.8178883448879495,1.4949755634924575
16PR021B.1,Pythium ultimum var. sporangiiferum,Mefenoxam,0.29421634020694226,0.031674098336042185,0.2297749026093498,0.3586577778045347
16PR014C.1,Pythium vexans,Mefenoxam,0.05402097434437774,0.010233890804064331,0.03319996695108275,0.07484198173767273
16PR015B.1,Pythium vexans,Mefenoxam,0.04295815520565424,0.00694345952831266,0.028831580578081765,0.05708472983322672
17PR009B.2,Pythium acanthophoron,Mefenoxam,0.08172124708474134,0.01478704612401988,0.051636775541333946,0.11180571862814873
16PR010.1,Pythium irregulare,Mefenoxam,0.44844623832540964,0.07510136795095393,0.2956513563698224,0.6012411202809969
16PR014C.1,Pythium vexans,Azoxystrobin,10,NA,NA,NA
16PR015B.1,Pythium vexans,Azoxystrobin,10,NA,NA,NA
17PR004J.1,Pythium aphanidermatum,Ethaboxam,100,NA,NA,NA
17PR011G.1,Pythium aphanidermatum,Ethaboxam,100,NA,NA,NA
17PR011J.1,Pythium aphanidermatum,Ethaboxam,100,NA,NA,NA
16PR008B.1,Pythium torulosum,Mefenoxam,NA,NA,NA,NA
16PR008B.1,Pythium torulosum,Metalaxyl,NA,NA,NA,NA
