isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide,length_mm,control_mean,relative_growth
17,17PR004J.1,Pythium aphanidermatum,1,1,0,40.32,40.28,Azoxystrobin,36.3,35.32666666666667,102.75523683713908
17,17PR004J.1,Pythium aphanidermatum,1,2,0,38.7,38.63,Azoxystrobin,34.665000000000006,35.32666666666667,98.12700509530102
17,17PR004J.1,Pythium aphanidermatum,1,3,0,38.83,39.2,Azoxystrobin,35.015,35.32666666666667,99.11775806755992
17,17PR004J.1,Pythium aphanidermatum,1,1,0.01,29.13,28.96,Azoxystrobin,25.045,35.32666666666667,70.8954519720702
17,17PR004J.1,Pythium aphanidermatum,1,2,0.01,30.61,28,Azoxystrobin,25.305,35.32666666666667,71.63143989431968
17,17PR004J.1,Pythium aphanidermatum,1,3,0.01,27.22,26.93,Azoxystrobin,23.075,35.32666666666667,65.31892809964144
17,17PR004J.1,Pythium aphanidermatum,1,1,0.1,13.84,7.11,Azoxystrobin,6.475,35.32666666666667,18.32892998678996
17,17PR004J.1,Pythium aphanidermatum,1,2,0.1,10.19,10.17,Azoxystrobin,6.18,35.32666666666667,17.493866767314586
17,17PR004J.1,Pythium aphanidermatum,1,3,0.1,8.75,10.99,Azoxystrobin,5.870000000000001,35.32666666666667,16.61634270617098
17,17PR004J.1,Pythium aphanidermatum,1,1,0.5,7.84,4.67,Azoxystrobin,2.255,35.32666666666667,6.383279864125306
17,17PR004J.1,Pythium aphanidermatum,1,2,0.5,7.25,4.12,Azoxystrobin,1.6850000000000005,35.32666666666667,4.769767880732215
17,17PR004J.1,Pythium aphanidermatum,1,3,0.5,6.96,4.41,Azoxystrobin,1.6850000000000005,35.32666666666667,4.769767880732215
17,17PR004J.1,Pythium aphanidermatum,1,1,1,4.68,4.3,Azoxystrobin,0.4900000000000002,35.32666666666667,1.387054161162484
17,17PR004J.1,Pythium aphanidermatum,1,2,1,6.35,3.91,Azoxystrobin,1.13,35.32666666666667,3.1987167390073594
17,17PR004J.1,Pythium aphanidermatum,1,3,1,6.96,3.37,Azoxystrobin,1.165,35.32666666666667,3.2977920362332513
17,17PR004J.1,Pythium aphanidermatum,1,2,10,4.77,4.26,Azoxystrobin,0.5149999999999997,35.32666666666667,1.457822230609548
17,17PR004J.1,Pythium aphanidermatum,2,1,0,38.19,39.48,Azoxystrobin,34.834999999999994,36.6,95.17759562841528
17,17PR004J.1,Pythium aphanidermatum,2,2,0,41.13,42.11,Azoxystrobin,37.620000000000005,36.6,102.78688524590164
17,17PR004J.1,Pythium aphanidermatum,2,3,0,40.46,42.23,Azoxystrobin,37.345,36.6,102.03551912568305
17,17PR004J.1,Pythium aphanidermatum,2,1,0.01,28.45,28.44,Azoxystrobin,24.445,36.6,66.7896174863388
